File,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,FT9,FT10,F7,F8,T7,T8,P7,P8,Fz,Pz,Cz,Oz,LE,RE,TP9,TP10,PO9,PO10,FC5,FC6,CP5,CP6,FC1,FC2,C1,C2,CP1,CP2,PO1,PO2,AF1,AF2,Fpz
pv016k_Rms_s,-1.499837,-0.038,-1.7555,-0.479675,-1.115288,0.2114,2.348088,2.435287,2.663337,0.44205,-3.620637,-0.955137,-2.679025,-1.000337,-2.657325,-1.67565,0.145625,-0.237788,-0.692937,4.142075,0.086613,4.187713,-1.834387,-0.569188,-2.417237,-0.5427,-0.235788,-0.698263,-2.2633,-0.47885,-0.747625,-0.157387,-0.8079,-0.355625,-0.095137,0.666737,1.128275,1.297625,6.082063,5.065063,-1.255787,0.8737,-0.851487
pv019k_Rms_s,1.35205,0.475425,-1.239575,-1.116375,-0.903238,0.353975,-1.157275,1.414775,-3.9955,0.91335,0.809175,1.163775,0.8006,0.395775,-1.41695,0.1015,-3.663463,0.824525,-1.8036,1.873625,0.161425,-0.451725,2.483238,2.410512,-0.023412,2.0733,-0.937575,1.761063,-0.788288,-0.161025,-2.041,0.598375,-1.086225,-0.410288,-0.374,0.710837,0.529563,1.439575,-0.849663,0.638563,-0.587225,-0.911837,0.756287
pv020k_Rms_s,1.060325,0.62235,-0.170038,-0.840563,0.609587,-0.294663,1.237612,-1.434425,-1.247388,-2.814262,0.420075,0.63645,0.026313,0.207425,-0.0533,0.332625,-1.244987,-1.718263,-0.128412,1.544187,1.624263,-2.687425,1.160863,1.181725,-0.271075,0.299837,-1.94875,-1.429575,-0.19365,0.028063,0.14885,-1.262688,0.6835,0.117162,1.7676,0.890837,2.128,0.977987,0.160037,-0.385862,0.4689,-0.400575,0.188
pv043k_Rms_s,3.193525,2.717075,0.842025,1.432575,-1.138275,-0.673013,-2.383938,-0.963475,-3.9321,-0.80075,1.013512,1.214937,2.270787,1.356462,-0.246363,-0.677013,-2.599012,-1.975963,1.019413,-1.08195,0.106275,-0.648962,3.138875,2.670925,-0.106225,-0.794587,-1.227875,-1.230025,-0.109213,0.017187,-2.203938,-1.7135,0.150712,1.097525,-1.03935,0.204638,-0.994138,-0.513188,-2.755538,-0.73125,2.6806,2.062687,3.236087
pv049k_Rms_s,2.551575,3.810287,2.235525,2.484425,0.716812,0.270213,-0.410625,-2.0267,-3.273175,-6.2332,0.8164,0.96345,1.591263,3.115425,0.026675,-0.70365,-3.51395,-6.905337,2.267475,0.668113,0.928975,-2.367388,0.997437,2.374125,-1.348562,-3.2551,-2.949275,-3.933788,1.490212,1.182913,-0.188575,-2.040875,1.518325,1.746662,0.914925,0.829837,0.5382,0.416975,-0.64005,-2.303988,2.680475,2.953763,2.00035
pv050k_Rms_s,1.600175,2.582762,0.5491,1.550087,-0.683675,0.040088,-2.474925,-1.146487,-3.739038,-2.096737,0.672913,1.6532,1.1716,1.949838,-0.781937,0.657462,-5.151963,-1.654975,1.429538,0.844125,0.526875,-0.967587,1.823112,2.573438,-1.114588,-0.020287,-1.834687,0.006113,0.234175,1.161363,-2.349237,-0.982238,0.692275,1.371675,0.05205,0.670863,-0.260675,-0.061663,-1.876475,-1.241825,1.3287,1.556863,1.789475
pv051k_Rms_s,2.634588,4.10675,1.0704,1.3171,0.843912,-1.187862,0.6898,-4.630775,-0.653212,-9.3881,1.679075,2.8575,1.870362,3.192763,-0.564337,-0.081262,-1.171988,-6.811038,1.016212,0.876137,-0.4022,-0.79905,2.618425,3.909675,-0.669,-0.477688,-0.734625,-3.151875,0.584637,0.288662,-0.224988,-3.319488,0.82605,-0.003463,0.300588,-0.72045,0.84055,-1.312238,1.638075,-3.3474,1.6859,2.124025,2.587388
pv052k_Rms_s,5.106988,5.24445,3.775988,3.359862,1.876875,0.729125,-2.25775,-2.713687,-11.971063,-9.775363,3.162663,2.587625,4.148013,3.601063,0.889625,0.5533,-7.119575,-5.624038,3.263162,-0.0626,0.941312,-6.72795,3.411175,3.596513,-1.811363,-1.21065,-7.048488,-5.846413,3.179288,1.797288,-0.553925,-1.738013,2.778475,1.329225,1.650712,0.873825,0.172625,0.229987,-4.584113,-2.87765,5.027138,4.369262,4.325375
pv053k_Rms_s,1.335825,1.31525,-0.706062,0.265638,-1.600263,-0.268275,0.410762,1.911337,-0.810887,0.847175,1.5892,1.259512,1.073987,0.653138,-0.099413,1.275837,-1.290738,1.569475,-1.66055,1.847475,-2.960163,0.282312,0.871375,1.538425,-0.591363,0.66525,-0.485325,0.4647,-2.0819,0.947912,-1.54395,1.307887,-3.170988,-2.5765,-1.979613,-1.876213,-0.266412,-0.033775,1.30675,1.886375,-0.670837,-0.847463,0.790412
pv054k_Rms_s,-0.355462,1.151475,-1.251638,-0.839137,-0.047062,-0.295925,0.668537,1.1036,-1.3414,1.2673,-0.08895,1.4117,-0.353037,1.248312,-0.66325,0.729275,-0.30725,0.928712,-1.257937,1.226537,-0.644988,-0.737913,1.786562,-0.594588,-1.549,0.053275,-2.025913,0.202988,-0.935438,-0.00035,0.4992,0.290963,-1.045125,-1.338513,-0.021588,-0.548625,0.86635,-0.076137,1.27435,2.4349,-0.4537,-0.496988,0.1312
pv055k_Rms_s,-0.486862,1.0275,-0.0457,1.020113,-0.75545,1.06695,-1.984425,1.167938,-4.437888,0.481938,-0.757563,1.259238,-0.14365,0.856037,-1.7884,1.750313,-3.821475,2.49785,0.658113,-0.015175,0.670363,-2.163675,0.264937,0.597975,-3.355225,2.186512,0.4382,1.723275,-0.8322,0.975313,-2.071362,1.739738,0.220713,0.958975,0.041937,0.995188,-0.043175,1.0761,-2.029475,-0.789487,0.3305,0.859775,0.568588
pv056k_Rms_s,2.00585,0.937238,-0.511563,-1.821087,-2.138075,-2.762438,-0.484037,0.170487,1.922025,1.581787,1.836063,1.294375,1.345363,0.035137,1.11685,0.21175,1.015225,0.37225,-1.2174,-1.224413,-3.479625,3.222638,2.069275,3.05935,1.711738,1.337163,2.743138,2.239975,-0.048087,-1.289912,-0.820325,-1.681488,-1.975662,-2.63005,-3.0514,-3.12665,-2.712912,-2.909025,1.703075,2.25255,-0.311363,-0.750588,0.788175
pv057k_Rms_s,2.066262,2.854462,0.352062,0.752663,-0.997825,-0.5255,-2.787138,-3.1409,-2.946988,-2.471612,2.101375,3.454487,1.462138,2.632262,-0.117312,2.591137,-2.6062,-1.9774,1.183975,-0.802912,-0.63325,-1.398988,3.666938,3.4088,-0.16415,1.10475,0.146775,0.306962,0.201363,1.134863,-2.337687,-1.13125,-0.345437,-0.31435,-1.06785,-0.62635,-1.330325,-1.113088,-2.288275,-4.0451,1.328525,1.65985,2.674038