File,E1-ec0Rmsw,E2-ec0Rmsw,E3-ec0Rmsw,E4-ec0Rmsw,E5-ec0Rmsw,E6-ec0Rmsw,E7-ec0Rmsw,E8-ec0Rmsw,E9-ec0Rmsw,E10-ec0Rmsw,E11-ec0Rmsw,E12-ec0Rmsw,E13-ec0Rmsw,E14-ec0Rmsw,E15-ec0Rmsw,E16-ec0Rmsw,E17-ec0Rmsw,E18-ec0Rmsw,E19-ec0Rmsw,E20-ec0Rmsw,E21-ec0Rmsw,E22-ec0Rmsw,E23-ec0Rmsw,E24-ec0Rmsw,E25-ec0Rmsw,E26-ec0Rmsw,E27-ec0Rmsw,E28-ec0Rmsw,E29-ec0Rmsw,E30-ec0Rmsw,E31-ec0Rmsw,E32-ec0Rmsw,E33-ec0Rmsw,E34-ec0Rmsw,E35-ec0Rmsw,E36-ec0Rmsw,E37-ec0Rmsw,E38-ec0Rmsw,E39-ec0Rmsw,E40-ec0Rmsw,E41-ec0Rmsw,E42-ec0Rmsw,E43-ec0Rmsw,E44-ec0Rmsw,E45-ec0Rmsw,E46-ec0Rmsw,E47-ec0Rmsw,E48-ec0Rmsw,E49-ec0Rmsw,E50-ec0Rmsw,E51-ec0Rmsw,E52-ec0Rmsw,E53-ec0Rmsw,E54-ec0Rmsw,E55-ec0Rmsw,E56-ec0Rmsw,E57-ec0Rmsw,E58-ec0Rmsw,E59-ec0Rmsw,E60-ec0Rmsw,E61-ec0Rmsw,E62-ec0Rmsw,E63-ec0Rmsw,E64-ec0Rmsw,E65-ec0Rmsw,E66-ec0Rmsw,E67-ec0Rmsw,E68-ec0Rmsw,E69-ec0Rmsw,E70-ec0Rmsw,E71-ec0Rmsw,E72-ec0Rmsw,E73-ec0Rmsw,E74-ec0Rmsw,E75-ec0Rmsw,E76-ec0Rmsw,E77-ec0Rmsw,E78-ec0Rmsw,E79-ec0Rmsw,E80-ec0Rmsw,E81-ec0Rmsw,E82-ec0Rmsw,E83-ec0Rmsw,E84-ec0Rmsw,E85-ec0Rmsw,E86-ec0Rmsw,E87-ec0Rmsw,E88-ec0Rmsw,E89-ec0Rmsw,E90-ec0Rmsw,E91-ec0Rmsw,E92-ec0Rmsw,E93-ec0Rmsw,E94-ec0Rmsw,E95-ec0Rmsw,E96-ec0Rmsw,E97-ec0Rmsw,E98-ec0Rmsw,E99-ec0Rmsw,E100-ec0Rmsw,E101-ec0Rmsw,E102-ec0Rmsw,E103-ec0Rmsw,E104-ec0Rmsw,E105-ec0Rmsw,E106-ec0Rmsw,E107-ec0Rmsw,E108-ec0Rmsw,E109-ec0Rmsw,E110-ec0Rmsw,E111-ec0Rmsw,E112-ec0Rmsw,E113-ec0Rmsw,E114-ec0Rmsw,E115-ec0Rmsw,E116-ec0Rmsw,E117-ec0Rmsw,E118-ec0Rmsw,E119-ec0Rmsw,E120-ec0Rmsw,E121-ec0Rmsw,E122-ec0Rmsw,E123-ec0Rmsw,E124-ec0Rmsw,E125-ec0Rmsw,E126-ec0Rmsw,E127-ec0Rmsw,E128-ec0Rmsw,Cz-ec0Rmsw
engws000021,-1.032766,-1.09805,-0.865594,-0.490555,-0.92415,-0.914683,0.142261,-0.799811,-0.179216,-0.675594,-0.917194,-1.057833,-0.786344,-1.196639,-0.881161,-0.762128,-0.918283,-0.667344,-0.678389,-0.9489,-1.334433,-0.547444,-1.054156,-0.858972,0.073961,-0.291839,-0.886933,-0.82035,-0.987433,-0.331472,0.672983,-0.439805,-0.720289,-0.855061,-1.285311,-0.907583,0.392895,-0.861844,-0.958822,-1.148728,-1.057094,-0.211711,-0.503489,-0.725511,-1.056022,-0.890811,-0.44675,-0.225139,-0.436061,-0.750855,-0.364811,0.103689,0.896289,0.609022,1.594361,-0.516183,-0.398422,-0.631489,0.237345,1.01075,0.574284,2.347514,-0.582539,-0.24375,0.038158,0.8315,1.65201,-0.491022,-0.469794,0.840879,2.613707,2.132908,0.126728,1.152711,3.195974,2.433002,2.422598,2.3664,1.737386,1.117506,1.303454,1.527138,1.595405,1.675823,1.881171,1.521006,1.174039,1.016271,0.75984,1.650847,1.44731,1.362941,0.793878,0.571828,0.400132,0.941077,0.874717,0.799272,0.484534,-0.249489,-0.110889,0.347056,0.468339,-0.049105,-0.129222,0.490106,-0.834305,-0.278816,-0.513061,-0.472878,-0.657344,-0.436744,-1.227611,-1.206589,-0.918927,-0.717216,-0.829666,-0.854689,0.156317,-1.568589,-0.8703,-0.694183,-0.769055,-0.775894,-0.771555,-0.886672,-0.348539,-0.36965,2.068234
engws000031,1.423833,1.765928,3.082983,2.540192,2.674661,3.274878,3.595584,1.928667,2.084811,2.274011,1.413189,2.914733,3.428439,2.010106,2.014183,1.800639,1.846772,2.032767,2.668189,3.314284,1.527856,1.929934,2.420211,3.588978,1.486111,2.434,2.424917,3.300422,3.567572,3.267239,3.791522,0.622372,1.075239,1.90735,2.670961,3.14155,3.342334,0.721978,0.337533,1.385361,2.233889,2.481633,-0.856239,-0.183217,-1.842167,-0.135867,0.709433,-0.747544,-1.98395,-4.414444,-2.292972,1.117122,2.937371,3.880696,4.236293,-4.465761,-5.33775,-8.572328,-4.086394,1.391017,3.612495,3.764137,-6.354177,-8.889934,-9.135561,-1.854177,2.236325,-7.33,-8.613456,-5.364055,0.005106,1.421677,-6.747644,-6.230339,-2.927683,0.376589,1.866744,4.315187,4.621348,3.744352,-6.130723,-5.699616,-5.530412,-2.539111,0.697817,2.776596,3.628368,-6.221817,-6.939394,-8.132367,-4.336178,0.167167,2.2612,-6.342939,-7.018339,-7.585727,-2.069839,0.795306,-5.2406,-5.854856,-5.192839,-0.378772,2.272533,3.44135,3.667857,3.473142,-4.007133,-2.186156,1.211306,2.738834,3.091584,3.138674,-1.988539,0.19085,-0.352883,1.937289,2.782794,2.993192,-1.174178,-0.247572,0.321622,1.368406,3.20365,2.757092,0.758006,1.083506,1.231089,-0.484728,4.047439
engws000051,0.91586,0.937466,0.592819,-0.025267,-0.572206,-1.095196,-1.759258,1.685542,0.996344,0.828723,0.164743,-0.812474,-1.537726,1.220949,0.404346,0.42048,1.667942,0.353024,-0.512295,-0.894936,0.268098,0.444391,0.148054,-0.194231,0.940877,0.864487,0.046728,-0.536926,-1.380852,-1.488991,-1.27078,1.243723,0.747825,-0.327224,-0.918196,-1.407191,-1.641825,0.809059,0.95345,-0.533939,-1.23198,-1.57659,1.643646,1.59131,0.996495,-1.103095,-1.514099,1.834979,1.201874,0.598616,-1.980322,-1.988987,-1.806035,-1.360992,-1.075096,1.852602,1.385132,-1.257874,-3.010239,-2.200464,-1.455886,-0.842583,2.1097,1.071608,-0.431168,-2.039316,-1.285912,1.742555,1.781733,0.04443,-0.398389,-0.591071,1.754777,1.464896,0.460414,-0.446153,-0.751075,-0.289581,-0.76025,-1.030246,1.946207,1.516957,0.323116,-1.5303,-1.27308,-0.639559,-0.871491,2.131604,1.654936,0.357416,-2.315099,-0.832632,-0.595793,2.099823,1.645138,1.025802,-0.722913,-0.639522,1.649104,1.008921,0.26639,-0.731578,-0.539862,-0.697981,-0.860466,-1.432721,1.177364,-0.561513,-0.000908,-0.452608,-0.685527,-0.865508,0.793128,0.069125,0.697154,0.186966,-0.255738,-0.596593,1.042931,0.97005,0.53578,0.441653,0.155429,-0.305928,0.744837,1.794683,1.618736,1.88814,-1.186846
engws000061,0.37447,0.44217,0.556903,0.520783,0.062715,0.49848,0.213098,0.291681,0.452709,0.561367,0.605594,1.169919,0.683283,-0.164335,0.933755,0.734064,3.309841,1.184049,1.411808,1.109298,-0.136691,1.20484,1.938957,1.257457,1.400133,1.269852,0.850017,0.788031,0.851852,0.137076,-0.707235,1.054174,0.454127,0.166691,-0.124691,0.159793,-0.840535,0.796439,-0.517019,-0.537918,-0.321585,-1.236324,0.239438,-0.213607,-1.648813,-1.577857,-1.414785,0.812726,0.001373,-2.240191,-2.308896,-1.95853,-1.305913,-0.841274,-0.068663,-0.859646,-2.00373,-2.852557,-3.542163,-2.340596,-1.314785,-0.104402,-0.745602,-2.270346,-6.138819,-3.419524,-2.291485,-1.036335,-1.259863,-4.084708,-1.414552,-1.160007,-0.661491,-0.623591,-1.320502,-0.3859,-0.213834,0.256727,0.278515,0.436388,0.031485,-0.199302,-0.496035,-0.390589,0.32708,0.842477,0.61748,1.118303,0.351559,0.491114,0.498669,0.392605,0.754198,0.034023,1.279175,0.992119,1.27629,0.793574,0.994834,1.192762,1.327903,1.566179,0.674443,0.723543,0.700312,0.232987,1.323656,1.248482,1.135283,0.58634,0.335471,0.40475,0.540899,0.003637,0.70019,0.258314,0.531205,0.521484,0.073908,0.734562,-0.026263,0.155909,0.624893,0.910068,0.602999,-0.283213,0.98601,0.890806,0.352126
engws000071,-1.002812,-0.493436,-0.600685,-0.185771,-0.012802,0.350015,0.611786,-0.455456,-0.498885,-0.429063,-0.085535,0.093476,0.252798,-0.454347,-0.46104,-0.084304,-0.81173,-0.237196,-0.145819,0.037359,-1.035396,-0.052879,0.190067,0.093215,0.01163,0.16531,0.403549,-0.138628,0.204235,0.604369,0.921569,-0.003228,0.243969,0.059736,0.055991,0.562109,0.793049,0.128923,-0.37416,0.249591,0.598454,0.889065,-0.715716,-0.776034,-0.10056,0.209545,0.444809,-1.101845,-1.072364,-0.113723,0.730973,1.370645,0.615654,1.801468,1.195271,-1.232789,-0.592399,0.361994,1.212401,1.756962,2.33223,2.828229,-0.958848,-0.696929,0.382021,1.144533,1.999555,-1.270293,-0.672885,0.764134,1.640028,0.968966,-1.325027,-0.072715,1.459988,0.423594,0.680818,1.43059,1.329809,0.563041,-0.89293,-0.292549,0.708964,0.954954,1.31971,1.252111,0.35805,-0.618573,-0.59679,0.131497,1.112445,0.447065,0.060571,-1.024411,-1.040149,-0.194943,0.407384,-0.00787,-1.243498,-1.221756,-0.606125,-0.462071,-0.31103,-0.298986,-0.158334,0.165409,-1.429649,-0.82279,-0.621744,-0.574687,-0.304688,0.184051,-1.148822,-1.727069,-1.05697,-0.426011,-0.331984,0.043162,-1.645278,-1.054255,-1.69863,-1.016624,-0.326424,0.472401,-0.8998,-0.550555,-0.081222,-0.63926,0.806487
engws000081,-0.350982,-0.945008,-1.565735,-1.59582,-1.778692,-1.831292,-1.391442,-0.670054,-0.979845,-1.536967,-1.607814,-1.816097,-1.534653,-0.663966,-1.065209,-1.460762,-0.47679,-1.391744,-1.391246,-1.432077,-1.264093,-0.751488,-1.292693,-1.156668,0.449492,-0.160609,-0.820508,-1.047225,-1.063726,-1.42786,-1.00193,0.256717,0.414582,-0.22563,-0.412137,-0.614337,-0.628308,-0.093561,-0.030293,-0.016182,0.048046,0.133312,0.577919,0.500079,0.958264,0.758583,0.723441,0.280962,0.476823,2.251867,1.409932,0.972128,0.403029,-0.269421,-0.740363,0.895854,2.275365,2.811383,2.036911,1.332594,0.654458,0.900436,1.298136,2.568534,2.709857,2.46903,0.904753,1.511809,2.125171,2.163033,2.27156,1.538502,1.210028,1.798441,2.075706,2.0101,1.072588,0.196764,-0.521437,-1.215034,1.148443,1.804885,1.553236,1.020048,0.400839,-0.17019,-1.005599,1.062579,1.113156,1.116898,0.547695,-0.16995,-0.714905,1.008806,1.325044,1.053584,-0.024282,-0.396075,0.886135,0.673283,0.108563,-0.496176,-0.580615,-1.286814,-1.344461,-1.614164,0.564578,-0.125027,-0.837014,-1.449003,-1.765681,-1.649192,0.189892,-0.276917,-0.636808,-1.598282,-1.524589,-1.793186,-0.169459,-0.223946,-0.587788,-0.886355,-1.065345,-2.122536,-0.56716,-0.086857,0.683148,1.058008,-1.356931
engws000092,1.590972,1.238033,0.577063,0.04605,-1.081974,-1.29595,-1.339683,0.46009,1.010837,0.826456,0.046798,-0.674769,-1.311778,1.313358,0.963506,1.11222,0.914429,0.563004,-0.003289,-1.192378,1.542941,1.797735,0.778544,0.792411,1.845756,2.074707,0.308248,-0.447361,-1.848766,-1.20685,-0.375283,1.907317,1.871317,1.757334,-0.449012,-0.94715,-0.709183,1.347385,0.842009,0.472866,-0.431374,-0.544109,0.392225,2.286114,0.537372,-0.555422,-1.208794,1.486909,2.033549,0.457745,-1.752868,-1.559887,-1.104565,-0.296319,0.208345,1.263346,0.459147,-1.685745,-3.007285,-1.81065,-0.05394,0.602214,0.974219,-0.474503,-3.760652,-2.997192,-1.081075,0.64118,-1.63992,-5.735598,-2.161237,-0.599502,0.27467,-2.434465,-4.616417,-1.974561,-0.025053,0.750437,0.536965,0.160469,-0.210203,-2.630655,-3.82679,-1.371188,0.557554,0.706352,0.184245,-0.649752,-2.109401,-2.86578,0.141619,0.557255,0.944947,0.001081,-0.787017,0.615487,1.036793,0.919502,-0.07392,0.453252,1.25508,1.004247,0.567261,-0.03478,-0.184395,-1.059233,0.689779,1.510326,0.95462,1.098705,-0.413724,-0.858252,1.467253,2.234994,1.19435,0.998009,-0.252122,-0.6845,1.007984,1.423557,1.294676,1.406675,0.823994,0.064948,1.720267,1.019302,1.367057,2.362389,-0.243578
engws000111,2.092221,2.585738,2.788516,3.22746,3.683927,4.339539,4.404237,2.040811,2.237922,2.525022,3.04006,3.496694,3.952182,2.040838,2.260666,2.545821,0.698449,2.488933,2.880944,3.333232,1.922144,2.398183,2.683616,2.950511,1.513933,1.530588,2.62926,2.688683,3.054721,3.14021,4.005666,0.706705,1.330488,1.855766,2.111711,2.156199,3.113688,0.990366,0.71941,0.903283,1.013888,1.016505,0.245794,0.469988,-1.978462,-0.875006,-0.153545,0.316938,-0.283017,-3.6165,-2.670267,-1.505095,1.075344,2.794305,3.751146,-1.685278,-3.588757,-7.754012,-4.643012,-2.427201,-0.017912,0.786255,-3.617579,-7.628362,-9.76475,-5.666028,-2.30449,-4.78419,-7.29164,-8.534029,-4.218384,-0.369623,-4.624884,-5.651945,-4.805335,-1.021156,0.619761,1.74086,2.259899,3.993165,-3.899551,-4.074017,-4.662128,-2.407612,-0.580829,1.667383,3.039938,-3.789934,-4.672295,-6.859807,-4.515601,-0.276545,1.343127,-3.846211,-5.77049,-8.732617,-2.792356,-0.151934,-3.695589,-4.179073,-4.524962,-0.480528,1.357755,2.384111,3.301877,4.047432,-2.153662,-1.828895,1.244666,2.280266,2.872455,3.552865,0.038299,0.903272,0.569138,2.291633,2.80396,3.284877,-0.318901,0.613372,1.020383,2.073838,2.700277,2.976871,1.379866,1.331527,2.043433,1.109488,4.309694
engws000121,-0.098798,-0.091983,0.1,-0.276667,-0.254372,-0.488028,0.681628,0.433173,-0.035627,-0.482256,-0.573361,-0.301228,-0.343839,-0.123082,-0.277973,-0.310456,-0.367873,-0.069357,-0.512422,-0.545556,-0.330401,-0.506372,-0.433844,-0.60645,-0.911984,-0.687977,-0.314728,-0.585111,-0.1573,0.011495,1.304443,-0.369547,-0.47904,-0.058184,-0.579862,-0.417549,0.901848,-0.350523,-1.32023,-0.517792,0.381983,0.72986,-0.733141,-0.973266,-1.472497,-0.403553,0.442982,-0.696221,-0.809907,-2.850508,-0.591238,0.326719,1.229818,1.692752,1.85231,-1.910452,-3.384462,-3.752859,-0.036914,1.470608,2.446351,3.339046,-3.161602,-4.311912,-2.289124,0.675549,2.732305,-2.94188,-2.833046,-1.187298,2.164239,3.254148,-1.969304,-1.985259,0.559456,3.69939,3.73542,2.883757,2.060673,1.222366,-2.026525,-1.505939,0.217518,4.626009,4.181051,2.12886,1.477773,-1.691205,-2.328207,-0.226023,2.808778,2.377791,1.512527,-1.869184,-1.079043,-0.080376,1.067303,1.393334,-1.567464,-1.288574,-0.277262,0.711419,1.182275,1.011188,0.463603,0.447233,-0.968919,0.194413,0.469851,0.677553,-0.118567,-0.230606,-0.189419,-0.298364,0.88608,0.397199,-0.034106,-0.368117,-0.547975,-0.050342,0.358942,0.76322,0.329545,-0.393989,-0.150836,-0.679263,-0.435021,-0.813198,1.276955
engws000131,-1.286882,-0.903859,-0.221137,0.050424,-0.008854,1.410419,1.706762,-1.318487,-0.879826,-0.391159,0.211785,0.747785,1.828249,-1.002409,-0.786643,-0.44847,-1.452504,0.763535,0.677157,0.997255,-0.607743,-0.045204,0.331396,0.710052,1.081165,0.896547,1.53379,1.039472,1.936153,1.87883,1.986308,0.358952,0.118891,0.897041,1.919526,2.164248,2.206677,-0.824287,0.64123,1.425357,1.587759,2.333711,-0.97827,-1.239876,0.364831,1.758764,2.320967,-1.131159,-1.827393,-0.143414,1.661385,1.751729,3.113694,2.629743,1.857684,-2.311676,-1.361009,0.171909,2.277292,3.04206,2.857877,2.322659,-2.38287,-1.667532,0.857494,3.475672,3.14719,-2.036365,-1.17287,0.992726,3.455037,3.741144,-1.538143,-0.608731,1.305616,3.321527,2.028088,1.894001,1.619913,1.006485,-1.006265,-0.41492,-0.119343,1.565993,1.466988,0.799402,0.367263,-2.00922,-1.632076,-2.324193,-0.400059,-0.559904,-0.537237,-3.063748,-3.328537,-3.445354,-1.561665,-1.400115,-4.616621,-4.051455,-3.148326,-1.797159,-1.169137,-0.388393,0.084019,0.959369,-3.459715,-2.644076,-1.73532,-1.513942,-0.828576,0.238141,-2.371009,-2.032004,-2.213776,-1.21962,-0.816637,-0.363831,-1.012576,-1.754843,-1.607115,-1.146654,-0.366187,-0.365881,-1.498137,-0.796959,-0.368509,0.030557,1.738168
engws000141,0.440857,1.530655,1.668685,1.733239,1.268401,1.44084,2.107657,1.328329,1.235143,1.038341,1.307499,1.229484,1.613052,0.324455,0.838754,1.161988,0.650364,1.252572,1.353594,1.913115,0.706851,0.574238,1.258711,2.042952,0.331223,1.143477,2.070174,2.466182,2.535497,2.823517,2.621152,0.829132,1.578138,2.68665,2.733741,2.888278,2.613962,0.716556,2.228588,2.705309,2.779548,2.890676,-0.260474,-0.474202,0.176276,2.482717,2.4622,-0.865586,-1.585927,-0.965711,1.853962,2.149441,2.243987,2.498313,2.687773,-4.32521,-4.192505,-2.561263,1.203454,1.35643,1.250465,1.62532,-5.02631,-6.379583,-2.524091,0.624281,0.424573,-7.512921,-6.183199,-1.013825,0.307207,0.40949,-7.824877,-7.75556,-4.046355,0.065187,1.080656,1.721535,2.112617,2.356591,-7.782488,-7.465232,-6.227066,0.376799,1.313008,1.889979,2.371401,-7.745755,-7.635188,-5.406748,0.643683,1.344671,1.959716,-6.618183,-6.916695,-3.029561,0.808197,1.576181,-5.313855,-4.64029,-2.318203,1.169078,2.024992,2.158603,1.915012,1.703806,-3.01835,-0.644679,1.671123,2.198643,2.077012,1.487551,-1.482317,-0.49622,1.082145,1.993366,2.149594,1.431616,-1.374588,-0.884183,0.108037,1.200001,2.458215,1.659454,-0.250544,-0.776286,0.575626,0.196562,2.225906
engws000151,1.386779,1.190104,0.975944,0.451786,0.120202,-0.104559,0.113752,2.139209,1.904541,1.117413,0.467872,0.561363,-0.058532,2.166052,1.366233,0.95145,1.883494,1.050742,0.290688,-0.187987,2.734396,1.251191,0.815565,0.062341,2.90772,1.769329,1.458958,-0.769104,-0.288815,-0.154198,0.117379,2.558878,1.749009,0.838288,0.258079,-0.189493,0.033729,1.896446,1.1784,0.546021,-0.207598,-0.655982,1.417504,1.023067,0.290332,-0.533007,-0.270388,1.017596,0.328944,-1.894956,-1.009237,-1.073304,-0.283126,0.142046,0.672362,-1.380093,-1.552189,-3.191951,-1.033154,-0.436237,0.276012,0.825731,-1.26706,-2.309388,-2.604453,-1.194048,0.283155,-1.740683,-2.138419,-1.507613,-0.13796,0.652416,-1.248952,-1.492856,-0.578208,0.622057,0.545011,0.499759,0.648877,0.360544,-1.33773,-1.272818,-0.476259,-0.319343,-0.259203,-0.092007,0.072762,-1.098723,-1.72562,-2.865062,-1.97371,-0.888288,-0.396792,-1.303607,-2.959556,-4.599851,-2.080988,-0.691583,-1.318833,-3.003075,-3.23614,-1.485742,-0.649836,-0.196388,-0.180265,0.110363,-0.246525,-1.684734,-0.512537,-0.069587,-0.120109,-0.117509,1.205937,1.466483,0.204709,1.059849,-0.175387,-0.174298,1.954397,1.447406,1.324568,0.704174,0.853921,0.732201,1.497258,2.53615,3.14754,2.266888,0.502279
engws000180,0.426143,0.399755,-0.410956,0.050961,0.536707,0.310473,0.331939,0.988762,0.262667,-0.086178,0.104122,0.428409,0.185,0.512003,0.2454,0.087678,0.494983,0.839863,0.773883,0.064561,0.545109,0.237955,0.268402,-0.076167,0.078342,0.916424,-0.084661,0.002844,-0.110478,0.482568,0.16935,0.427393,-0.240861,-0.136239,-0.250272,0.004497,0.393649,-0.279045,-0.192078,-0.237876,-0.481011,0.243032,-0.522683,-0.351411,-1.492691,-0.539671,0.284168,-0.186109,0.259319,-1.623189,-0.191457,0.242084,0.326149,0.631284,0.380322,-1.088064,-1.771519,0.525859,0.870709,0.617265,0.618432,0.032333,-1.453722,-1.45278,-0.546328,1.048597,1.099174,-1.263306,-0.481733,1.0394,0.621927,0.405889,-0.639217,0.332373,0.753671,0.498277,0.401605,0.345581,0.441591,0.520575,-0.309645,0.168618,-0.141009,0.337579,0.331539,0.31577,0.467714,-0.641361,-0.704222,-1.434906,0.034345,0.447673,0.76004,-1.331317,-1.883183,-1.38673,-0.817339,0.062672,-1.045261,-0.682596,-1.043517,-0.566489,-0.091433,-0.015556,0.17275,-0.179089,-1.494828,-0.109778,0.148233,0.223533,0.672771,0.395614,1.045689,-0.033417,-0.226895,0.1869,0.221867,0.01965,-0.841856,0.242996,-0.575617,0.251178,1.03558,0.164483,-0.387122,1.057896,0.255983,-0.510756,0.513094
engws000200,1.435611,-0.04721,1.085073,0.939611,0.696131,0.681586,1.308742,0.231528,-0.837524,0.602472,0.481635,0.576713,0.976262,0.13895,0.745905,0.422713,0.715806,0.624407,0.429632,0.704321,1.035807,1.438702,0.510582,0.557534,1.713578,1.128628,0.69775,0.989622,0.729016,1.184737,1.847988,0.752786,0.03868,0.225333,0.270472,0.544639,0.695752,0.818495,-0.327239,0.408544,0.202982,0.176184,-0.014494,0.006394,-2.381767,-0.697749,-0.378809,-0.375683,-1.076867,-3.623211,-1.854461,-0.926988,-0.068657,1.938827,2.329022,-1.530667,-4.372667,-5.514439,-2.931644,-1.132197,1.134492,2.750128,-2.776238,-4.933828,-4.986289,-3.138791,0.390124,-3.811489,-3.066898,-3.609727,-0.300269,1.994909,-3.754881,-1.534164,0.289373,3.050224,4.663626,3.54967,2.900392,2.118953,-3.46991,-0.304022,2.531057,3.905829,3.393174,2.377097,2.279805,-2.859915,-0.500115,0.087251,2.092134,2.346148,1.824632,-3.72024,-3.777089,-2.558129,0.030243,1.080284,-3.189683,-5.164849,-6.064333,-0.763142,1.147155,1.881571,2.034992,1.448307,-2.961766,-3.325134,-0.031778,1.312101,1.712687,1.228778,-0.830328,-0.9297,-0.504124,1.101282,1.531701,1.314562,-0.478189,-0.254516,0.689837,1.530948,1.66403,1.362223,0.071826,0.766514,1.060263,0.677153,1.327183
engws000220,-1.077266,-0.332383,1.414612,2.817873,3.183079,3.537836,2.593225,0.026078,0.62754,1.05873,1.805999,3.411486,4.05796,0.079934,0.692951,1.327962,0.396723,1.73394,2.529691,3.073951,-0.501211,0.270039,0.583406,1.757594,-0.431855,-0.359083,1.730439,2.438411,3.72742,4.021769,3.236776,-0.610027,0.290295,0.819945,1.884262,1.822156,3.26811,-1.226799,-1.703644,0.195401,1.219951,2.541273,-1.353527,-1.923677,-2.199466,0.299662,0.059428,-2.196994,-2.780105,-3.208039,-1.631066,1.563239,2.827062,3.267782,2.486723,-3.877728,-4.280889,-3.574533,0.089795,2.544471,2.203444,2.351534,-4.728243,-5.450689,-3.445488,2.059336,3.20103,-5.265078,-5.466016,-1.432233,2.425089,3.504414,-4.5707,-3.756283,-0.066227,2.597123,2.364673,1.895312,1.950895,1.865223,-3.847455,-3.642161,-2.461761,0.849606,1.496484,1.653489,1.606006,-3.709538,-5.530315,-6.146927,-1.346466,0.520017,0.842128,-4.163233,-5.69875,-3.75076,0.043389,0.648884,-3.494038,-3.798483,-3.080972,0.096051,1.492495,2.112269,2.58563,2.895142,-2.740733,-0.994338,1.611173,1.85888,2.177686,2.981297,-2.015883,-1.161822,-0.042016,-0.650322,1.091292,2.468252,-2.535422,-1.728516,-1.023366,-0.579594,-0.075601,1.205096,-0.907566,-0.702611,-2.344711,-1.337138,2.991429
engws000350,3.687644,3.977552,3.770482,2.94794,2.035852,0.676839,0.393089,3.945025,3.88874,4.435227,2.755537,1.216919,0.006197,3.25511,3.126434,2.973542,3.95211,2.565232,2.073083,1.002443,2.168045,3.014732,2.651072,1.176971,3.181427,3.149482,1.646272,1.436461,0.877045,-0.008886,-0.757428,3.471063,1.727794,1.038504,0.247176,-0.760835,-1.116813,3.381809,1.035871,0.470159,-0.896,-1.547524,2.825912,1.478856,-0.187024,-0.87352,-2.063597,3.718876,1.986318,-4.837058,-4.475725,-2.500236,-2.00883,-1.520824,-1.032758,1.467588,-2.410897,-5.714152,-4.738891,-2.874346,-2.914163,-1.820424,-0.283579,-3.595851,-6.138998,-3.742552,-2.086491,-1.938019,-4.466569,-5.166302,-3.091286,-2.42203,-2.313752,-3.583119,-3.343196,-3.682663,-3.364313,-1.212593,-1.367124,-0.400695,-2.544196,-3.167552,-5.936903,-5.889075,-4.351202,-1.27505,-1.714628,-2.621641,-3.69248,-7.580529,-4.686269,-2.381163,-0.165185,-3.243991,-1.944581,-3.870269,-2.496206,-1.266644,-0.697804,-0.040603,-1.998096,-0.398597,0.783561,0.858366,1.081004,0.3158,1.158927,0.78493,1.189459,1.638677,2.339671,1.287363,2.964226,3.475023,2.318748,2.072446,3.083812,1.93621,3.353569,4.178444,3.874834,2.770363,3.335149,2.71023,4.037945,4.723836,4.368012,4.051695,-0.307008
engws077673,2.301627,3.294448,2.927013,2.044309,1.186034,1.31802,1.315735,2.622651,2.588031,2.6075,2.116938,1.526112,1.390656,1.91205,2.307818,2.239598,1.967771,2.736481,2.666546,1.667155,1.50731,2.423953,3.125843,2.528161,2.903673,3.663606,3.037524,1.638067,0.780838,0.782333,1.006822,3.601719,2.579808,2.191846,1.392439,0.674988,1.140544,2.179916,0.698727,0.735128,0.62876,0.515266,2.075646,1.054609,-1.543023,-0.594684,-0.149073,1.20477,0.158071,-4.704257,-2.764234,-0.821045,0.736748,1.562588,1.633052,-1.921267,-4.26869,-7.191596,-3.86329,-1.348778,1.036285,1.027114,-3.745346,-6.727062,-7.219416,-3.65019,-0.598217,-5.010873,-6.286768,-5.332318,-1.989295,0.07551,-4.555106,-5.181939,-2.976762,-0.369212,-0.21294,-1.723128,1.399808,1.635791,-4.507796,-4.240667,-3.222501,-2.403573,-0.516829,1.187872,1.591954,-4.221823,-3.848117,-4.726657,-2.59619,0.026849,1.280313,-3.956284,-4.008318,-4.000745,-1.509495,0.664386,-3.044129,-2.946367,-3.107867,0.351517,1.488626,1.554888,1.24694,1.208815,-2.617134,-0.546701,1.75396,1.638814,1.065372,0.763606,-0.171009,1.163441,1.3318,2.352494,1.197448,1.142765,0.81587,1.603218,1.806803,2.51004,1.467096,1.794906,1.837703,2.957133,2.584735,3.053976,1.423616