File,E1-rms_w,E2-rms_w,E3-rms_w,E4-rms_w,E5-rms_w,E6-rms_w,E7-rms_w,E8-rms_w,E9-rms_w,E10-rms_w,E11-rms_w,E12-rms_w,E13-rms_w,E14-rms_w,E15-rms_w,E16-rms_w,E17-rms_w,E18-rms_w,E19-rms_w,E20-rms_w,E21-rms_w,E22-rms_w,E23-rms_w,E24-rms_w,E25-rms_w,E26-rms_w,E27-rms_w,E28-rms_w,E29-rms_w,E30-rms_w,E31-rms_w,E32-rms_w,E33-rms_w,E34-rms_w,E35-rms_w,E36-rms_w,E37-rms_w,E38-rms_w,E39-rms_w,E40-rms_w,E41-rms_w,E42-rms_w,E43-rms_w,E44-rms_w,E45-rms_w,E46-rms_w,E47-rms_w,E48-rms_w,E49-rms_w,E50-rms_w,E51-rms_w,E52-rms_w,E53-rms_w,E54-rms_w,E55-rms_w,E56-rms_w,E57-rms_w,E58-rms_w,E59-rms_w,E60-rms_w,E61-rms_w,E62-rms_w,E63-rms_w,E64-rms_w,E65-rms_w,E66-rms_w,E67-rms_w,E68-rms_w,E69-rms_w,E70-rms_w,E71-rms_w,E72-rms_w,E73-rms_w,E74-rms_w,E75-rms_w,E76-rms_w,E77-rms_w,E78-rms_w,E79-rms_w,E80-rms_w,E81-rms_w,E82-rms_w,E83-rms_w,E84-rms_w,E85-rms_w,E86-rms_w,E87-rms_w,E88-rms_w,E89-rms_w,E90-rms_w,E91-rms_w,E92-rms_w,E93-rms_w,E94-rms_w,E95-rms_w,E96-rms_w,E97-rms_w,E98-rms_w,E99-rms_w,E100-rms_w,E101-rms_w,E102-rms_w,E103-rms_w,E104-rms_w,E105-rms_w,E106-rms_w,E107-rms_w,E108-rms_w,E109-rms_w,E110-rms_w,E111-rms_w,E112-rms_w,E113-rms_w,E114-rms_w,E115-rms_w,E116-rms_w,E117-rms_w,E118-rms_w,E119-rms_w,E120-rms_w,E121-rms_w,E122-rms_w,E123-rms_w,E124-rms_w,E125-rms_w,E126-rms_w,E127-rms_w,E128-rms_w,GFP-rms_w
r4c12_ec_p3-mux,-0.732169,-0.511355,-0.535622,-0.559971,-0.464623,-0.425381,-0.363844,-1.205857,-0.67941,-0.570456,-0.757692,-0.445255,-0.431414,-0.285434,-1.089072,-0.720983,-0.191825,-1.183465,-0.554227,-0.689418,-0.474136,-1.612279,-1.207672,-0.819784,-0.570512,-0.162503,-0.309864,-0.119649,-0.583021,-0.318089,-0.237499,0.089371,-0.191416,-0.213071,-0.179242,-0.207451,-0.022874,-0.027523,-0.725718,-0.662897,-0.691219,-0.492537,-0.385378,-0.467013,-1.399396,-0.815164,-0.831429,-0.660836,-0.538258,-0.886636,-0.755321,-0.110631,-0.438419,0.333419,0.579554,-0.839429,-0.679214,-0.50571,-0.108768,0.113411,-0.193889,0.269239,-0.71115,-0.501542,-0.402836,0.129681,-0.217138,-0.291919,-0.248802,-0.283868,-0.000659,-0.217274,-0.306114,-0.411656,-0.320339,-0.457231,-0.221432,0.107206,0.692301,0.474867,0.205105,-0.656083,-0.311134,-0.136189,0.501886,1.080843,0.69197,0.167113,-1.294814,-0.593161,1.012472,0.733428,0.652085,0.123846,-0.338323,-0.466136,-0.30984,0.04329,0.135571,-0.813162,-0.507471,0.659831,-0.436391,-0.277999,-0.109147,-0.321693,-0.043285,-0.601034,-0.111656,-0.413194,-0.300032,-0.1337,-0.271998,-1.054893,-0.939276,-0.014729,-0.317816,-0.178026,-0.374251,-1.245381,-0.760133,-0.445898,-0.521114,-0.358741,-0.950376,-0.339498,-0.372944,-0.337969,0.722912
r4c13wb-mux,-5.598472,2.025038,2.285465,2.389472,2.311071,2.322704,1.495508,2.156527,1.879361,2.347429,2.311985,1.522516,0.813475,-0.401556,1.260397,1.845289,1.541761,0.995609,1.631844,1.509336,1.487696,-1.85161,1.197924,1.897902,1.825293,-3.30625,1.175807,1.464948,1.427669,1.714643,0.486288,-0.461957,-2.762829,1.565904,-0.584564,0.476381,0.031387,-1.137693,0.554804,-0.642032,-0.869257,-1.15337,-1.792957,-0.381765,0.045816,-1.134201,-1.373793,-1.923707,-0.139764,-2.54855,-2.387614,-2.74875,-2.801129,-1.782186,-1.626157,-1.6324,-0.061079,-2.861386,-3.024907,-3.4839,-3.390722,-3.109208,-2.688936,-2.933479,-3.034693,-3.430186,-3.674029,-4.062129,-4.631793,-3.56795,-3.576093,-3.634879,-3.78915,-4.3085,-1.630931,-3.770772,-3.967864,-3.926507,-3.844072,-2.914672,-1.163272,-3.856243,-4.018464,-4.081728,-3.970493,-4.075207,-4.115964,-2.554036,-4.200008,-4.169793,-4.258293,-4.203279,-4.087007,-3.644079,-4.625736,-3.735164,-3.726229,-3.728028,-3.91595,-4.730336,-4.0258,-2.896643,-2.834793,-2.607564,-1.771607,-0.546931,0.570025,-4.483486,-1.356619,-1.889831,-1.062044,0.10654,1.418591,-1.460329,-1.202319,-1.10111,-0.409293,0.454999,1.522478,-0.685083,0.848066,0.600536,0.533528,1.097676,1.199569,0.769599,2.376498,-0.168411,2.312024
r4c14_ec_p3-mux,0.540031,0.613349,0.196526,0.197699,0.220795,0.317584,-0.079757,-0.118652,-0.364823,0.161599,0.308917,-0.106554,-0.105356,-0.339029,-0.203251,-0.115921,0.07004,-0.295728,0.80299,0.401844,-0.061986,-0.600259,-0.106401,-0.022012,-0.359321,-0.972093,-0.360386,-0.042564,-0.409978,-0.324379,-0.183083,-0.285686,-0.174514,-0.534707,-0.517742,-0.481571,-0.451871,0.029612,-0.394647,-0.709339,-0.913157,-1.124772,-0.973057,0.747489,-1.041979,-1.836,-1.577679,-1.720093,0.007399,-2.785808,-2.6552,-1.823007,0.259756,-0.068189,0.109742,-0.863529,-3.730943,-4.0585,-2.688549,-1.208412,0.47015,0.353637,-1.060425,-3.142379,-2.424109,-1.142949,0.022034,0.123029,-1.056368,-1.259514,-1.240571,-0.643488,-0.10614,-1.043608,-0.402036,-0.364578,-0.15607,0.104944,0.247479,0.784346,0.459676,-0.038063,-0.090499,0.500416,-0.210871,-0.179871,0.589091,0.843449,0.119845,-0.230866,-0.718752,-1.316072,0.11646,0.324073,-0.040754,-0.860173,-1.70255,-0.745863,-0.053291,-0.163491,-0.776169,-1.076723,0.130826,0.278163,0.59242,0.375427,0.254699,-0.440376,-0.654314,-0.051515,0.040474,0.304354,0.263212,0.517144,0.055738,0.083236,0.186239,0.134519,0.136137,0.971062,0.736564,-0.246881,-0.041054,-0.006193,0.548201,0.613718,0.248589,-0.050452,1.044045
r4c16_ec_p3-mux,-0.958275,-1.502921,-0.642628,-0.121114,0.315829,1.023499,0.429956,-0.813386,-0.677039,-0.348261,-0.665107,-1.239121,-0.779786,0.453593,-0.525632,-0.888086,-1.10511,-1.695064,-0.664679,-1.349407,-1.27935,-0.655061,-0.739525,-1.433464,-1.526129,-1.133989,-1.570771,-1.5967,-1.362379,-1.699693,-1.75895,-0.226221,-0.996273,-1.458865,-2.135357,-2.298136,-1.745393,-1.536479,-1.757989,-2.317222,-2.351693,-2.2797,-2.237657,-1.529432,-2.426164,-2.415236,-2.368171,-2.469829,-2.174358,-2.757714,-2.472136,-1.768764,-1.547979,-1.240493,-0.432975,-3.794771,-2.930665,-4.219886,-3.11465,-1.276657,-1.094626,-0.636834,-4.206007,-3.712357,-1.705871,-1.030811,-0.990699,-0.79308,-2.326036,-0.811521,-1.010639,-0.945411,-0.965046,-0.3951,-1.102486,-1.132138,-0.772445,-0.461724,-0.178792,-0.016663,0.005309,-1.996236,-1.353767,-1.332521,-1.051937,1.512404,0.771927,0.159735,-2.629236,-1.989264,-1.055283,-0.825994,-0.526093,-0.151483,-3.025929,-1.843094,-1.922098,-0.719036,-0.823381,-2.722978,-1.734292,-1.482964,-0.698119,-0.754415,-0.238559,0.062477,0.190484,-2.307214,-0.300171,-0.331626,-0.364187,0.100296,0.305303,-0.980382,-0.936285,-0.699018,-0.558638,-0.322614,0.276988,-1.039392,-0.558482,-1.037916,-0.326048,-0.212162,-1.013471,-1.627886,1.055553,-4.814014,1.220382
r4c17_ec_p3-mux,-1.051429,-0.76145,-0.706807,-0.479396,-0.396746,0.307024,1.542931,-0.69044,-0.754761,-0.48939,-0.145549,0.833971,0.095302,-0.935378,-1.534707,-0.632955,0.315734,-1.812936,-0.123287,0.046743,0.074089,-1.499157,-0.706783,-0.444061,-0.041033,-0.779964,-0.617374,-0.500629,-0.242799,-0.481707,-0.520357,0.646563,-0.629453,-0.664474,-0.8057,-0.684093,-0.539789,-0.196039,-1.064386,-0.856414,-1.162407,-0.860459,-0.848378,-1.587743,-1.71005,-1.153129,-1.277807,-1.008743,-1.743186,-1.326907,-1.717593,-1.170829,-0.216163,0.460199,-0.216296,-1.7534,-1.767972,-1.610257,-1.161404,-0.206679,0.083139,-0.702582,-1.827543,-1.564,-1.135764,-0.216642,-0.285783,-0.814392,-1.342764,-0.973821,-0.692972,-1.166772,-1.146076,-0.917061,-0.909536,-1.284299,-1.489282,-1.414171,-1.402593,-0.889971,-0.657214,-0.953642,-1.334903,-1.5644,-1.468282,-1.766264,-1.721336,-0.772771,-0.83996,-1.846186,-2.153243,-2.126393,-2.201179,-1.618214,-2.529007,-2.650258,-2.403686,-2.276728,-2.036986,-2.638264,-2.73585,-2.119807,-2.08425,-1.806436,-1.376629,-0.703557,-0.009839,-2.471243,-1.578236,-1.5531,-1.1979,-0.872822,-0.150629,-2.531643,-1.094771,-1.1902,-1.130579,-0.977914,-0.069409,-2.248872,-1.229979,-0.979114,-0.676457,-0.553789,-1.654436,-1.300536,2.665576,-1.52495,0.934619
r4c18_ec_p3-mux,-0.011064,0.359455,0.398021,0.264856,0.048176,-0.119791,-0.369677,0.201451,-0.043026,0.077772,-0.474166,-0.658875,-0.800151,-0.412174,0.59708,0.080659,0.020424,-0.24019,-0.125362,-0.857459,-1.190718,-0.697139,-0.022975,-0.767705,-1.170741,-0.56266,-0.789096,-1.171483,-1.624736,-1.99615,-1.852221,-0.7879,-0.569196,-1.346661,-1.81395,-1.540757,-2.3823,-1.8208,-0.524367,-2.07185,-2.84765,-2.447407,-2.825379,-0.824719,-2.16505,-2.021507,-2.682293,-2.972529,-1.888522,-2.891157,-3.199136,-2.734272,-2.626293,-1.104007,-1.020214,-2.173529,-2.416072,-3.63575,-2.822458,-2.795372,-2.057936,-1.661714,-2.664293,-3.350607,-2.855936,-2.444236,-2.311414,-2.2984,-3.509421,-4.172864,-3.129343,-2.684093,-2.939679,-3.859343,-3.262957,-3.480579,-2.939107,-2.854679,-1.865814,-0.716243,-0.007454,-4.659057,-3.186528,-2.557457,-2.605329,-2.265572,-1.236514,-0.350555,-5.593885,-2.057293,-2.109822,-2.480314,-1.80275,-0.670136,-2.871857,-1.603857,-0.8634,-1.055986,-0.744857,-1.712793,-1.930936,-0.686621,-0.422107,-0.415929,-0.072471,-0.014249,0.132178,-0.511872,-0.392021,-0.155776,-0.100251,-0.02056,0.169883,-0.270366,-0.287639,0.012352,0.04329,0.105367,-0.068487,-0.245748,0.144786,-0.156648,-0.036613,0.088761,0.207392,-0.006116,-0.174329,0.116546,1.376869
r4c20_ec_p3-mux,-3.017086,-2.899478,-2.402879,-1.483279,-0.566971,-0.379007,-0.170359,-3.684322,-2.928314,-2.363029,-2.038686,-1.328157,-1.13915,-3.417593,-2.124121,-2.565029,-3.142743,-2.5457,-2.383807,-2.062786,-2.025636,-3.188472,-2.559229,-2.556314,-2.2683,-3.6776,-2.921121,-2.599107,-2.353221,-1.508636,-1.325729,-0.042007,-3.678029,-2.788058,-2.778943,-2.31445,-1.258415,-0.880209,-4.246986,-2.694879,-2.164414,-1.888521,-1.226694,-3.7708,-3.203936,-3.404958,-1.255772,-2.347465,-3.388572,-3.885922,-3.186822,-1.782311,-0.73733,0.075893,0.163462,-4.307136,-4.316757,-4.552807,-3.167941,-1.981107,0.125989,0.204781,-4.659043,-5.16255,-3.483473,-2.156489,-1.105339,-0.148241,-4.601865,-3.7574,-3.464243,-1.67701,-1.727126,-4.350272,-4.143928,-3.101958,-2.462237,-2.586649,-0.848734,-0.551424,-0.586207,-4.616586,-4.270029,-3.861993,-4.051821,-3.273178,-1.572523,-1.653471,-4.950765,-4.941586,-4.744443,-4.762465,-2.853486,-2.112993,-4.762436,-4.912143,-4.938343,-4.419843,-3.396128,-5.089464,-4.787171,-4.204315,-3.931793,-2.889779,-1.951558,-0.683064,-0.446279,-4.442235,-3.802115,-3.468415,-2.801064,-1.792064,-0.6038,-4.217029,-3.705657,-2.8105,-3.308636,-2.283993,-1.572843,-3.415057,-2.125565,-2.589857,-2.603193,-1.8552,-2.572279,-1.247136,-1.241265,-4.843379,1.560392
r4c23_ec_p3-mux,0.13127,0.771237,0.591661,2.008996,1.962506,1.223858,1.017551,-0.09034,1.460714,1.735493,2.176712,2.152476,0.250044,1.276727,1.794406,1.769995,0.768394,1.061612,2.337216,2.208152,0.878536,1.054329,0.691446,1.796341,1.178498,-0.981759,0.099538,-0.636344,0.202507,-0.317297,0.015106,0.038701,-0.610683,-0.300548,-1.140021,-0.872079,-1.054107,0.114511,-0.601534,-1.9688,-1.547629,-1.426257,-1.949443,-1.453264,-1.072821,-2.426586,-2.421907,-2.020443,-1.911179,-3.151293,-3.5286,-2.311,-1.874193,-0.483779,-0.363979,-4.775822,-3.465793,-5.15085,-3.6202,-2.752414,-2.847457,-0.861257,-5.283457,-4.485987,-4.133978,-4.039186,-3.274278,-2.043321,-5.35595,-4.310336,-4.093829,-3.804286,-2.801343,-5.001571,-4.173743,-4.212536,-3.107043,-2.712629,-1.203765,-1.043601,-0.494313,-4.469529,-6.178228,-3.997193,-3.255465,-2.382014,-1.562322,-0.67213,-5.051964,-3.625422,-5.208786,-2.373372,-2.0292,-1.490246,-4.470464,-4.597472,-2.851086,-3.372015,-2.4209,-5.200286,-3.666457,-3.051,-2.262286,-1.802521,-1.063093,-0.262258,0.115332,-4.332593,-1.805521,-2.018443,-1.532257,-0.41582,-0.030641,-1.595157,-0.890707,-0.786564,-1.066164,-1.022443,1.929179,-0.917986,-0.539393,-0.807671,-0.220624,0.857419,-0.252637,-0.195111,0.064911,-1.356693,2.120084
r4c25_ec_p3-mux,-3.374979,-1.881429,-1.72555,-0.995921,-0.774893,-0.468814,-0.269564,-2.965064,-2.625551,-1.766243,-0.710657,-0.680179,-0.791414,-3.842943,-2.723393,-1.751672,-3.690929,-2.682272,-2.184293,-1.887915,-1.763393,-3.399586,-1.975943,-1.970214,-2.042771,-5.007679,-1.692679,-1.964036,-1.939143,-1.698014,-1.636464,-0.589293,-2.794707,-2.566522,-2.662343,-2.274771,-1.897593,-1.576695,-3.502265,-3.518235,-2.934243,-2.694486,-2.219028,-3.838879,-4.268929,-3.705928,-2.8474,-3.202136,-5.286743,-3.631422,-3.681514,-2.735392,-1.965137,-0.746709,-0.333593,-6.204143,-4.525064,-4.683993,-3.300461,-2.619865,-1.13218,-0.670379,-5.641736,-5.444664,-4.99515,-4.025372,-1.495184,-1.2212,-7.121328,-5.590971,-4.117386,-3.846564,-1.866643,-5.063543,-4.20475,-3.3107,-2.719214,-1.624821,-1.405107,-0.76735,-0.555407,-3.744872,-3.322093,-3.171143,-2.165564,-1.468643,-1.617079,-0.767724,-3.774571,-3.712743,-4.256001,-3.151229,-1.694129,-1.866793,-4.505464,-4.939207,-4.50885,-2.902343,-2.615707,-5.513335,-4.903608,-3.679793,-2.805571,-2.110329,-1.217389,-0.686071,-0.454943,-5.604465,-2.709607,-2.541021,-2.107757,-1.183657,-0.395314,-5.887229,-3.7925,-2.747457,-1.987007,-1.655007,-0.999114,-4.734821,-3.706686,-2.005372,-1.832607,-1.213129,-4.269621,-4.338815,-4.5308,-3.761886,1.648152
r4c26_ec_p3-mux,-0.872607,-0.340542,0.028993,0.871944,1.465038,2.231157,0.424679,-1.858536,-1.391429,-0.37876,1.098507,0.707096,-0.61955,-2.198779,-1.192557,0.127273,-0.864163,-1.132586,-0.564997,0.391238,0.571482,-1.9182,-1.201143,-0.152566,0.083879,-3.040243,-0.877328,-0.534369,0.031113,-0.6495,-0.402036,-0.752257,-0.813182,-0.965993,-1.1499,-0.801257,-1.218043,-0.76905,-1.597257,-1.458457,-1.646093,-1.992457,-1.789029,-2.155779,-2.359428,-2.375264,-2.219879,-2.625707,-2.79095,-2.334229,-2.501664,-3.230322,-2.982293,-2.39025,-0.263564,-4.240064,-2.614907,-3.069721,-3.273814,-3.000186,-2.515121,-0.832486,-3.667107,-3.567729,-3.231015,-3.006865,-2.509236,-0.82605,-4.363485,-3.2939,-3.128108,-2.251207,-1.424721,-4.074479,-2.590164,-2.440922,-2.123815,-0.778259,-0.129776,0.039676,0.394219,-3.158465,-2.126264,-2.13785,-1.768257,-1.424693,-0.805276,-0.4951,-2.896007,-2.134564,-1.606093,-1.528471,-1.472814,-0.988893,-2.073743,-1.938093,-1.9326,-1.745329,-1.281479,-2.349065,-2.238828,-1.654043,-0.933493,-0.286272,0.213521,-0.076269,0.825286,-1.708064,-0.781093,-0.298044,0.095077,0.357438,0.840798,-0.968968,-0.637105,-0.25782,0.185619,0.703354,1.044796,-0.993663,-0.522981,-0.063583,0.394773,0.65128,-0.321976,0.081864,-0.295619,-1.510122,1.415399
r4c27_ec_p3-mux,-1.22924,-0.754047,-0.315403,-0.028388,0.534276,2.606242,0.67947,-1.277611,-0.015425,0.671003,1.968134,2.50348,0.667764,-0.697385,-0.059948,0.222208,-0.169635,0.479906,0.847527,0.506269,1.378316,-1.003377,0.836876,0.148198,0.153364,-1.283241,1.052899,0.024587,0.848099,-0.196163,-0.30578,-0.270229,0.850454,-0.16174,-0.593554,-0.439248,-0.837001,-1.22685,-0.409046,-0.883364,-0.633078,-1.120492,-1.578693,-0.500394,-1.568168,-0.826421,-1.202264,-1.374071,-0.795305,-1.214774,-1.508093,-2.835764,-2.300129,-2.756879,-1.278679,-2.19315,-1.428922,-1.6329,-3.711879,-4.562993,-3.134143,-3.689843,-2.674836,-2.161071,-3.941108,-6.176751,-4.803243,-4.447008,-3.92085,-4.335451,-5.185464,-5.729829,-4.776201,-3.8113,-5.106757,-6.484215,-5.7294,-6.219836,-3.984286,-2.261957,-1.031221,-4.718486,-5.191287,-5.245286,-5.473544,-4.548836,-3.9329,-2.307464,-5.503222,-5.182207,-4.548922,-4.405736,-4.399778,-3.471829,-3.525208,-3.578414,-3.980143,-3.951343,-3.73155,-4.235943,-4.215621,-3.9446,-4.033472,-3.333757,-3.003079,-0.445083,0.609001,-3.837222,-1.305516,-1.399573,-1.191216,-0.825559,1.257894,-2.785922,-2.650468,-1.409965,-1.163315,-0.474792,0.838104,-2.81787,-3.283181,-1.095832,-0.875792,-0.554287,-1.425987,-0.086275,1.379545,0.546821,2.203933
r4c29_ec_p3-mux,2.129179,0.645366,0.806452,1.577856,1.592996,1.295316,1.136836,0.45281,0.998141,-0.452766,1.522861,1.907119,1.576159,0.095719,-0.395084,-0.9236,-1.189323,0.194294,1.037546,2.725483,0.269597,-3.227965,0.287598,-0.085921,-2.803329,-0.67513,1.337066,-0.235427,-0.218284,0.443216,0.108468,-0.430792,-1.760236,-0.584924,-0.525871,2.79276,-1.762974,-2.68275,0.667179,-0.859436,-0.199591,-1.544305,-2.602476,-1.120746,-0.963935,-1.022569,-2.47511,-2.830127,-1.036859,-3.501648,-4.020988,-4.463742,-3.170278,-2.556457,-0.9965,-3.810313,-4.355067,-6.021299,-6.541972,-5.749979,-4.0521,-2.925822,-4.424428,-5.549708,-5.76716,-6.55245,-5.444215,-3.933122,-5.625298,-6.104923,-5.935738,-6.189575,-4.978009,-7.042671,-6.4073,-5.765237,-5.124874,-4.533392,-3.01405,-1.785157,0.182414,-5.791837,-4.946264,-4.879107,-2.214299,-2.951731,-2.395814,0.250212,-5.715742,-4.43744,-6.244207,-3.405743,-2.935056,-0.961264,-4.619049,-3.943522,-3.105753,-1.823712,-0.661721,-3.808864,-2.178198,-1.748413,0.043562,0.751092,0.930041,0.853273,0.673358,-2.935477,-0.9753,1.337845,2.582464,1.839562,1.442913,-0.158548,-1.009351,0.593481,0.845462,2.034241,1.561622,-1.693386,-0.282625,1.156388,1.163241,0.259481,-0.600542,-0.781426,-1.72463,-0.801877,2.729722
r4c31_ec_p3-mux,0.351891,-0.6833,-0.401677,-0.026941,0.2338,0.225533,0.330128,1.086445,0.895503,0.302001,0.288259,0.686986,1.053556,1.763852,0.8864,0.50535,2.497224,-0.161086,0.642866,1.058493,1.215963,1.750494,2.281799,1.798273,1.264296,3.329112,2.539752,1.824626,1.191355,1.135799,1.079074,0.168669,1.879228,2.082813,1.538249,1.182369,1.093436,1.032829,2.281989,0.970891,0.643258,1.136885,0.989629,2.228141,2.441076,0.157721,0.857761,1.140373,1.648479,-0.17691,0.954504,0.929789,0.620952,0.094454,-0.141213,0.85271,-0.871621,-2.984236,0.074576,0.496166,0.09262,-0.702136,0.741751,-0.280676,-0.193036,0.255282,0.224669,-0.353998,0.882697,-0.086636,-0.041298,0.077757,-0.059536,0.236874,0.202618,-0.006464,0.102899,-0.258291,-0.758237,-0.780129,-0.249286,0.296193,0.060352,0.071995,-0.010257,-0.229226,-0.96865,-0.261519,0.083379,0.232473,-0.098589,-0.381444,-0.849829,-1.0602,0.313395,-0.319599,-0.64793,-0.734707,-0.7461,-0.105054,-0.644597,-0.530238,-0.702043,-0.688418,-0.834257,-0.265836,-0.172629,0.817475,-0.482729,-0.7393,-0.394601,-0.07483,-0.03026,1.646965,0.357981,-0.413379,-0.285217,-0.384113,-0.067004,1.655119,-0.030851,-0.498909,-0.50125,-0.381691,1.535374,2.115949,2.995761,2.330456,1.055826
r4c33_ec_p3-mux,-1.885543,-1.47636,-0.871036,-0.452386,-0.277914,-0.472529,-0.404921,-1.913379,-1.711,-1.35445,-0.982729,-1.453543,-2.236707,-2.679236,-1.6505,-1.368122,-2.89245,-3.026943,-1.959486,-1.810757,-2.999564,-3.638772,-3.508843,-3.777779,-3.655229,-4.227493,-4.742243,-3.95225,-3.663029,-2.076629,-1.069279,-0.744064,-4.463644,-4.183515,-3.851714,-3.449143,-2.423093,-1.194457,-3.931921,-3.974736,-3.648672,-3.000879,-1.929207,-3.868014,-3.9556,-4.04995,-3.503915,-2.044422,-4.1036,-3.851907,-2.316264,-1.738136,-0.796468,0.311926,-0.246742,-3.914064,-4.142272,-2.354007,-1.435186,0.189935,0.339138,-0.03203,-3.7582,-2.584364,-1.498943,0.479196,0.85181,0.314448,-1.708029,-1.090528,0.287979,0.467843,0.37218,-0.852174,0.855996,0.301376,0.249896,0.365462,0.404576,-0.014222,-0.094667,0.157054,0.247639,0.149316,0.282136,0.326326,-0.191198,-0.032912,-0.770324,-0.548454,-0.716876,-0.777086,-0.86692,-0.283709,-2.149716,-2.135784,-1.97623,-1.792141,-1.41167,-2.417785,-1.874732,-2.133334,-2.212009,-1.644991,-0.604676,0.59296,0.069558,-2.241714,-1.856562,-1.886047,-1.165463,-0.314604,0.162966,-2.580922,-1.956084,-1.730103,-1.282658,-0.693701,-0.3753,-2.459229,-1.661106,-1.111708,-0.754472,-0.542877,-1.775005,-3.290315,-3.927907,-4.965157,1.594659
r4c34_ec_p3-mux,1.615781,1.677335,0.941724,0.352809,0.269161,0.097653,-0.370379,2.347304,1.767595,0.78662,0.58026,-0.003324,-0.020857,1.131639,-0.335668,-0.561616,0.722692,-0.02015,-0.277934,-0.114352,-0.060611,1.038616,1.454324,0.188312,0.159589,0.869081,0.390936,0.209721,0.118541,-0.095719,-0.302979,-0.758843,0.196572,0.283089,0.214402,0.025574,-0.289511,-0.356251,0.529104,0.297913,0.074371,-0.073271,-0.266169,0.355424,-0.393123,-0.108194,-0.048559,-0.24888,0.047211,-0.043063,-0.203286,-0.31562,-0.752786,-1.259529,-0.630836,-0.209613,0.012174,-0.152385,-0.39614,-0.468589,-0.844636,-1.154036,-0.245901,-0.162298,-0.346304,-0.299507,-0.333102,-0.113647,-0.335185,-0.386979,-0.187533,-0.104526,-0.101726,-0.194406,0.130661,0.019063,-0.014588,0.343659,-0.007233,-0.155914,0.482934,0.125052,0.020532,0.129264,0.542538,1.065512,1.110216,0.766217,0.67159,0.837836,1.385546,1.454248,1.517934,1.374642,1.484568,1.434809,1.167767,1.463941,1.40434,1.780811,1.430896,1.396931,1.321465,1.320659,0.807099,0.686724,0.563035,1.73659,1.264044,1.288089,1.264824,1.059954,1.255735,0.892702,0.588752,1.114304,1.162479,1.609588,0.520266,0.721107,0.880594,1.322649,0.928429,0.581475,0.997227,0.327754,-0.160316,0.201614,0.83629