,ord,file_loc,character,num_of_obj,sum_of_stroke,vertices,disconnected_strokes,perimetric_complexity
0,44,c1.png,日,1,4,6.0,0.0,
1,52,c2.png,不,2,4,2.0,1.0,
2,59,c3.png,心,4,4,2.0,3.0,
3,3,k12.png,들,3,9,6.0,,
4,4,k13.png,센,4,7,3.0,,
5,73,c4.png,天,1,4,2.0,0.0,
6,78,c5.png,四,1,5,8.0,0.0,
7,69,c6.png,去,1,5,5.0,0.0,
8,64,c7.png,外,2,5,5.0,0.0,
9,2,c8.png,回,3,6,8.0,0.0,
10,5,c9.png,吃,1,6,8.0,0.0,
11,11,k39.png,묾,2,15,13.0,,
12,12,k11.png,생,3,6,3.0,,
13,13,k10.png,포,1,6,5.0,,
14,14,k38.png,빨,4,15,13.0,,
15,61,c10.png,早,1,6,8.0,0.0,
16,50,c11.png,字,2,6,7.0,0.0,
17,43,c12.png,她,2,6,9.0,0.0,
18,49,c13.png,有,1,6,8.0,0.0,
19,63,c14.png,沒,5,8,6.0,3.0,
20,20,k14.png,받,3,9,7.0,,
21,21,k28.png,넒,4,13,10.0,,
22,22,k29.png,옮,3,12,9.0,,
23,23,k15.png,집,3,8,6.0,,
24,70,c15.png,把,2,8,11.0,0.0,
25,79,c16.png,弟,1,7,11.0,0.0,
26,72,c17.png,身,1,7,10.0,0.0,
27,10,c18.png,些,4,7,6.0,2.0,
28,28,k17.png,앞,3,7,5.0,,
29,29,k16.png,살,3,9,6.0,,
30,15,c19.png,兒,1,8,10.0,0.0,
31,25,c20.png,具,1,8,12.0,0.0,
32,32,k1.png,수,2,4,2.0,,
33,33,k3.png,다,2,5,3.0,,
34,34,k2.png,서,2,4,2.0,,
35,35,k6.png,보,1,6,5.0,,
36,36,k7.png,대,2,6,4.0,,
37,37,k5.png,하,3,5,1.0,,
38,38,k4.png,교,2,5,3.0,,
39,18,c21.png,放,1,8,10.0,0.0,
40,40,k9.png,회,3,6,1.0,,
41,41,k8.png,같,3,8,5.0,,
42,42,k40.png,뽑,2,14,13.0,,
43,27,c22.png,明,2,8,13.0,0.0,
44,30,c23.png,果,1,8,10.0,0.0,
45,45,k27.png,렵,3,12,10.0,,
46,46,k33.png,활,4,12,6.0,,
47,47,k32.png,텔,4,12,8.0,,
48,48,k26.png,떻,5,11,5.0,,
49,8,c24.png,爸,1,8,13.0,0.0,
50,17,c25.png,雨,1,8,5.0,4.0,
51,6,c26.png,洗,4,10,7.0,3.0,
52,1,c27.png,保,4,9,7.0,2.0,
53,53,k18.png,화,3,7,2.0,,
54,54,k30.png,품,2,10,9.0,,
55,55,k24.png,물,2,11,9.0,,
56,56,k25.png,빠,3,10,9.0,,
57,57,k31.png,찮,5,11,4.0,,
58,58,k19.png,말,3,11,9.0,,
59,62,c28.png,美,1,9,7.0,0.0,
60,71,c29.png,星,1,9,11.0,0.0,
61,9,c30.png,音,2,9,11.0,0.0,
62,16,c31.png,風,1,9,11.0,0.0,
63,7,c32.png,活,4,10,7.0,3.0,
64,0,c33.png,師,2,10,14.0,0.0,
65,65,k35.png,뗌,5,13,9.0,,
66,66,k21.png,종,4,6,3.0,,
67,67,k20.png,렇,4,10,5.0,,
68,68,k34.png,했,4,10,4.0,,
69,24,c34.png,哪,3,10,15.0,0.0,
70,19,c35.png,氣,2,10,8.0,2.0,
71,26,c36.png,時,2,10,11.0,1.0,
72,31,c37.png,個,2,10,11.0,0.0,
73,60,c38.png,動,1,11,17.0,0.0,
74,74,k22.png,함,4,9,5.0,,
75,75,k36.png,졌,3,10,6.0,,
76,76,k37.png,떴,4,12,7.0,,
77,77,k23.png,없,2,9,6.0,,
78,51,c39.png,習,1,11,17.0,0.0,
79,39,c40.png,這,4,14,9.0,3.0,