content,obj_num,disconnected_stroke,stroke_sum,junc_sum,file_loc,PC
9501,4,1,11,8,1_Symbol_ (1).BMP,21.0314691816322
13468,5,0,20,20,1_Symbol_ (2).BMP,26.3989979425291
8108,4,1,14,13,1_Symbol_ (3).BMP,21.3247580059335
30455,5,1,13,10,1_Symbol_ (4).BMP,27.358083782543
8510,4,1,11,9,1_Symbol_ (5).BMP,21.8640356278622
81319,5,0,20,19,1_Symbol_ (6).BMP,26.8573840094845
1994,4,0,17,15,1_Symbol_ (7).BMP,17.9984940175666
819,3,0,13,12,1_Symbol_ (8).BMP,14.5508137908677
6934,4,0,17,16,1_Symbol_ (9).BMP,19.7566521341268
340358,6,1,20,18,1_Symbol_ (10).BMP,33.3480982736813
98413,5,0,21,20,1_Symbol_ (11).BMP,25.3489050088077
4456,4,0,14,13,1_Symbol_ (12).BMP,18.894030813238
6361,4,0,15,15,1_Symbol_ (13).BMP,22.3714408317744
51436,5,0,17,16,1_Symbol_ (14).BMP,26.9242687819425
45541,5,0,15,13,1_Symbol_ (15).BMP,25.0032253760732
315,3,0,9,8,1_Symbol_ (16).BMP,17.6400548925888
33088,5,1,19,18,1_Symbol_ (17).BMP,28.532816071613
9643,4,0,17,16,1_Symbol_ (18).BMP,19.7566521341268
345843,6,0,23,22,1_Symbol_ (19).BMP,31.7243394253809
853011,6,1,18,16,1_Symbol_ (20).BMP,34.1787050171094
11518,5,0,16,15,1_Symbol_ (21).BMP,27.5961202154834
6603,4,1,13,12,1_Symbol_ (22).BMP,22.4764575185852
10165,5,1,13,11,1_Symbol_ (23).BMP,27.9609817462165
814,3,0,12,12,1_Symbol_ (24).BMP,14.8827138935176
35601,5,1,14,12,1_Symbol_ (25).BMP,28.5944771396856
80448,5,1,19,18,1_Symbol_ (26).BMP,24.116088347064
39541,5,0,18,16,1_Symbol_ (27).BMP,25.8598787898953
140663,6,1,20,19,1_Symbol_ (28).BMP,32.5619315549338
9501,4,1,11,8,1_Symbol_ (29).BMP,21.0314691816322
43166,5,0,19,19,1_Symbol_ (30).BMP,26.623464163959
809,3,1,11,9,1_Symbol_ (31).BMP,14.6718966489101
1086,4,1,13,12,1_Symbol_ (32).BMP,21.5656062037602
89004,5,2,16,13,1_Symbol_ (33).BMP,24.903031081776
4086,4,1,14,13,1_Symbol_ (34).BMP,20.0184909269986
88014,5,1,18,17,1_Symbol_ (35).BMP,25.604522232804
438531,6,0,22,21,1_Symbol_ (36).BMP,33.2075481183592
8841,4,0,17,17,1_Symbol_ (37).BMP,19.6730771849593
4189,4,0,17,16,1_Symbol_ (38).BMP,18.8320890590729
46630,5,1,17,16,1_Symbol_ (39).BMP,26.7466889597548
6006,4,2,10,8,1_Symbol_ (40).BMP,21.9302254823886
335540,6,1,17,14,1_Symbol_ (41).BMP,33.8582518370075
8904,4,1,15,13,1_Symbol_ (42).BMP,18.9707409071311
40369,5,1,18,16,1_Symbol_ (43).BMP,25.6904865215065
4653,4,0,14,13,1_Symbol_ (44).BMP,21.112975318085
143466,6,0,23,23,1_Symbol_ (45).BMP,30.9073797912687
60514,5,1,14,12,1_Symbol_ (46).BMP,26.3667949549314
3199,4,0,17,15,1_Symbol_ (47).BMP,20.2143685428337
8541,4,0,14,13,1_Symbol_ (48).BMP,20.1940645851246
31459,5,0,18,16,1_Symbol_ (49).BMP,25.8598787898953
8543,4,0,15,14,1_Symbol_ (50).BMP,20.900885268735
1984,4,0,17,16,1_Symbol_ (51).BMP,18.8320890590729
911348,6,0,24,23,1_Symbol_ (52).BMP,31.1508118112958
1551,4,0,10,8,1_Symbol_ (53).BMP,22.3297658656059
8453,4,0,15,14,1_Symbol_ (54).BMP,20.900885268735
901036,6,2,18,15,1_Symbol_ (55).BMP,33.1506993701845
13089,5,1,18,16,1_Symbol_ (56).BMP,26.987953173626
664,3,0,12,12,1_Symbol_ (57).BMP,14.3174148666099
1486,4,0,16,16,1_Symbol_ (58).BMP,19.8929624672803
98101,5,1,17,15,1_Symbol_ (59).BMP,26.2966501084713
1554,4,0,11,9,1_Symbol_ (60).BMP,20.7458791060053
Gras,4,1,7,5,1_Word_ (1).BMP,39.4948711986279
Wiese,5,1,11,9,1_Word_ (2).BMP,53.9952183457004
Blume,5,1,11,11,1_Word_ (3).BMP,48.1876081152288
Haus,4,1,8,5,1_Word_ (4).BMP,39.8842251907091
Tür,3,0,8,3,1_Word_ (5).BMP,25.8097991936762
Schnee,6,2,10,6,1_Word_ (6).BMP,61.2491308361648
Ski,3,1,6,5,1_Word_ (7).BMP,27.8749317295589
Frosch,6,3,10,4,1_Word_ (8).BMP,55.3834674508797
Birne,5,0,11,10,1_Word_ (9).BMP,45.0095267625734
Apfel,5,1,10,10,1_Word_ (10).BMP,49.7815974519608
Baum,4,0,10,9,1_Word_ (11).BMP,41.4122734800382
Teller,6,2,10,10,1_Word_ (12).BMP,48.62948425871
Esel,4,2,8,7,1_Word_ (13).BMP,38.3953159248964
Banana,6,0,13,12,1_Word_ (14).BMP,60.6499985111974
Nadel,5,2,9,10,1_Word_ (15).BMP,49.8576331048341
Faden,5,1,10,9,1_Word_ (16).BMP,50.3771931541811
Hund,4,1,8,6,1_Word_ (17).BMP,38.8153844342856
Katze,5,0,12,9,1_Word_ (18).BMP,49.3156533382592
Maus,4,1,9,6,1_Word_ (19).BMP,44.6473868271186
Käse,4,1,10,7,1_Word_ (20).BMP,45.9243236163504
Radio,5,2,9,9,1_Word_ (21).BMP,47.9390062011849
Puppe,5,0,10,9,1_Word_ (22).BMP,52.3169525729349
Fisch,5,2,9,5,1_Word_ (23).BMP,44.9337268574885
See,3,1,5,4,1_Word_ (24).BMP,33.9250004314772
Wasser,6,2,12,8,1_Word_ (25).BMP,64.5857979851304
Meer,4,0,10,8,1_Word_ (26).BMP,45.0146887446479
Buch,4,1,8,6,1_Word_ (27).BMP,39.2456759518555
Ente,4,0,10,7,1_Word_ (28).BMP,39.0908464567819
Hand,4,1,8,7,1_Word_ (29).BMP,40.3660008024384
Finger,6,0,13,10,1_Word_ (30).BMP,53.9267612028524
Ring,4,0,9,8,1_Word_ (31).BMP,37.8179096593539
Fuchs,5,2,9,4,1_Word_ (32).BMP,47.4643359388262
Hase,4,1,8,6,1_Word_ (33).BMP,42.4322400930136
Ohr,3,1,5,2,1_Word_ (34).BMP,28.403265389971
Auto,4,1,8,5,1_Word_ (35).BMP,38.4641817657929
Bett,4,0,9,8,1_Word_ (36).BMP,39.3286563368944
Kissen,6,2,11,8,1_Word_ (37).BMP,58.693041494305
Insel,5,3,7,7,1_Word_ (38).BMP,41.8036506848564
Palme,5,1,10,10,1_Word_ (39).BMP,47.2062724047016
Ball,4,2,7,10,1_Word_ (40).BMP,33.7789988971413
Fuss,4,2,7,3,1_Word_ (41).BMP,39.1624954206341
Zeh,3,0,7,5,1_Word_ (42).BMP,30.6538289068594
Wurst,5,1,11,6,1_Word_ (43).BMP,49.6738636466638
Brot,4,1,8,6,1_Word_ (44).BMP,36.5785410836574
Butter,6,0,13,10,1_Word_ (45).BMP,55.0133870087365
Feder,5,1,10,9,1_Word_ (46).BMP,49.8356095711394
Vogel,5,2,8,7,1_Word_ (47).BMP,48.7710745435804
Hemd,4,1,9,8,1_Word_ (48).BMP,43.3924594168314
Knopf,5,1,10,7,1_Word_ (49).BMP,50.5425145092262
Sonne,5,2,8,4,1_Word_ (50).BMP,49.4670573963868
Mond,4,2,8,6,1_Word_ (51).BMP,44.2163169986055
Stern,5,1,9,5,1_Word_ (52).BMP,46.8015203542703
Stuhl,5,2,8,5,1_Word_ (53).BMP,43.848066209615
Tisch,5,2,8,4,1_Word_ (54).BMP,42.821628115495
Sand,4,2,6,5,1_Word_ (55).BMP,41.084828510553
Zahn,4,0,9,6,1_Word_ (56).BMP,38.3524817777199
Rose,4,2,7,5,1_Word_ (57).BMP,42.7137464500189
Dorn,4,1,7,4,1_Word_ (58).BMP,35.6052335233994
Torte,5,1,9,5,1_Word_ (59).BMP,43.4042275608558
Kuchen,6,1,12,8,1_Word_ (60).BMP,59.1859491108892